Volatility,OptionPrice1,OptionPrice2,OptionPrice3,OptionPrice4
0.490,8.982,20.073,27.065,31.349
0.495,9.421,20.749,26.812,32.172
0.500,9.603,19.901,27.016,31.343
0.505,9.492,20.664,28.203,33.647
0.510,9.318,21.082,29.068,33.707
0.515,9.235,22.221,29.607,33.095
0.520,9.848,21.793,28.978,31.624
0.525,9.552,20.963,29.574,32.300
0.530,10.029,22.080,30.357,32.637
0.535,9.937,21.779,29.392,34.118
0.540,9.964,21.813,30.732,34.407
0.545,10.566,23.208,29.084,34.001
0.550,10.564,21.217,29.840,35.748
0.555,10.434,22.750,30.700,33.733
0.560,10.632,22.295,30.215,34.311
0.565,10.609,23.007,29.583,36.894
0.570,10.729,22.440,30.347,34.067
0.575,10.960,23.952,31.374,33.472
0.580,11.076,24.071,31.176,33.965
0.585,11.102,23.645,32.001,35.615
0.590,11.089,24.292,30.182,35.326
0.595,11.312,23.263,31.649,36.512
0.600,11.591,23.660,33.670,34.933
0.605,11.756,24.297,32.836,35.245
0.610,11.578,23.835,31.885,37.646
0.615,11.717,25.648,31.656,36.904
0.620,11.020,24.803,30.813,39.057
0.625,11.134,24.735,33.252,39.181
0.630,12.608,24.724,33.364,32.950
0.635,12.223,24.711,35.568,34.937
0.640,12.437,25.683,34.580,40.198
0.645,12.528,26.330,32.921,37.121
0.650,12.371,25.415,35.489,36.582
0.655,12.654,26.702,33.707,38.832
0.660,12.555,26.758,34.207,34.453
0.665,12.913,25.815,35.908,39.657
0.670,12.909,27.969,34.991,37.431
0.675,13.189,25.644,36.246,39.101
0.680,13.112,26.380,37.186,38.252
0.685,13.139,26.073,34.629,39.823
0.690,13.324,26.831,34.856,37.330
0.695,13.456,26.324,33.015,40.578
0.700,13.302,27.490,36.338,41.148
0.705,13.643,26.831,34.391,37.736
0.710,13.886,26.754,36.768,35.366
0.715,13.327,28.932,34.215,34.943
0.720,13.502,28.817,35.600,36.682
0.725,13.951,27.026,34.982,36.693
0.730,14.075,26.637,39.917,37.081
0.735,14.484,29.753,40.824,35.636
0.740,13.983,28.388,38.614,47.947
0.745,14.298,29.036,36.447,38.167
0.750,14.057,28.257,39.257,48.288
0.755,14.720,29.576,39.087,36.805
0.760,14.359,30.271,33.103,39.716
0.765,14.709,30.182,38.304,38.348
0.770,14.812,30.362,39.288,42.616
0.775,15.287,30.177,39.174,37.039
0.780,14.946,29.025,37.565,60.407
0.785,15.101,30.548,40.446,46.711
0.790,15.577,31.825,47.093,40.611
0.795,16.042,32.607,37.544,46.334
